,enginesize,curbweight,horsepower,carwidth,highwaympg,citympg,carlength,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem
4,136,2824,115,66.4,22,18,176.6,gas,std,four,sedan,4wd,front,ohc,five,mpfi
71,234,3740,155,71.7,18,16,202.6,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi
134,121,2707,110,66.5,28,21,186.6,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
145,108,2510,111,65.4,29,24,172.0,gas,turbo,four,sedan,4wd,front,ohcf,four,mpfi
122,98,2191,68,63.8,38,31,167.3,gas,std,four,sedan,fwd,front,ohc,four,2bbl
26,90,1989,68,63.8,38,31,157.3,gas,std,four,sedan,fwd,front,ohc,four,2bbl
83,156,2921,145,66.3,24,19,173.2,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
149,108,2650,111,65.4,23,23,173.6,gas,turbo,four,wagon,4wd,front,ohcf,four,mpfi
186,109,2275,85,65.5,34,27,171.7,gas,std,four,sedan,fwd,front,ohc,four,mpfi
8,131,3086,140,71.4,20,17,192.7,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi
90,103,2017,55,63.8,50,45,165.3,diesel,std,two,sedan,fwd,front,ohc,four,idi
163,98,2169,70,64.0,34,29,168.7,gas,std,two,sedan,rwd,front,ohc,four,2bbl
61,122,2385,84,66.5,32,26,177.8,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
75,140,2910,175,68.0,24,19,178.4,gas,turbo,two,hatchback,rwd,front,ohc,four,mpfi
106,181,3139,160,67.9,25,19,178.5,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
63,122,2443,64,66.5,42,36,177.8,diesel,std,four,sedan,fwd,front,ohc,four,idi
198,130,3045,162,67.2,22,17,188.8,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
143,108,2340,94,65.4,32,26,172.0,gas,std,four,sedan,fwd,front,ohcf,four,mpfi
24,90,1967,68,63.8,38,31,157.3,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
30,92,1713,58,63.9,54,49,144.6,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
135,121,2758,110,66.5,28,21,186.6,gas,std,four,sedan,fwd,front,ohc,four,mpfi
40,110,2372,86,62.5,33,27,175.4,gas,std,four,sedan,fwd,front,ohc,four,1bbl
60,122,2410,84,66.5,32,26,177.8,gas,std,four,sedan,fwd,front,ohc,four,2bbl
56,70,2380,101,65.7,23,17,169.0,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
101,181,3095,152,66.5,22,17,181.7,gas,std,four,sedan,fwd,front,ohcv,six,mpfi
86,122,2405,88,65.4,32,25,172.4,gas,std,four,sedan,fwd,front,ohc,four,2bbl
19,90,1874,70,63.6,43,38,155.9,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
155,92,3110,62,63.6,32,27,169.7,gas,std,four,wagon,4wd,front,ohc,four,2bbl
97,97,2037,69,63.8,37,31,170.2,gas,std,four,wagon,fwd,front,ohc,four,2bbl
54,91,1950,68,64.2,38,31,166.8,gas,std,four,sedan,fwd,front,ohc,four,2bbl
184,97,2264,52,65.5,46,37,171.7,diesel,std,four,sedan,fwd,front,ohc,four,idi
51,91,1900,68,64.2,38,31,159.1,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
